SKU_ID,Product_Name,Category,Pack_Size_g_ml,MRP,Selling_Price,Current_Inventory,Days_Until_Expiry,Days_In_Warehouse,Sales_Last_7_Days,Sales_Last_30_Days,Storage_Space_Used_Liters,Was_Discounted,Discount_Percentage,Sold_Before_Expiry,Seasonal_Demand_Flag
2638b827,Cello Plastic Tray,Plasticware & Storage,500,1076.79,913.97,426,999,99,308,512,7356.23,True,22.87,True,False
88a14e19,Vim Dishwash Bar,Home Cleaning,2000,224.14,183.35,291,999,86,20,188,18468.02,True,25.41,True,False
3250f305,Amul Milk,Dairy & Eggs,200,1059.21,759.61,232,24,11,102,265,582.04,True,10.46,True,False
3bab7c46,Patanjali Soap,Personal Care,1500,237.61,178.93,773,999,11,385,1152,17259.5,True,9.95,True,False
78fdc6de,Patanjali Sugar,Staples & Dry Goods,5000,739.07,520.87,57,29,54,33,58,3834.2,False,0.0,True,True
06fec601,Nilkamal Drawer,Plasticware & Storage,2000,185.42,155.77,585,999,13,25,105,33074.75,False,0.0,True,False
2c9d1c75,Organic Tattva Besan,Staples & Dry Goods,500,514.52,355.86,122,8,90,37,133,653.58,True,17.27,True,False
05aeccbd,Natureland Organic Poha,Staples & Dry Goods,50,667.29,461.74,120,30,20,64,113,223.43,True,21.51,True,True
ecbf6c42,Fiama Shower Gel,Personal Care,200,641.39,457.24,411,999,89,252,520,1526.09,True,29.27,True,False
5ce7b8a1,Tide Detergent,Home Cleaning,5000,676.25,578.62,750,999,85,32,495,50439.7,True,34.01,True,False
b71d576e,Patanjali Soap,Personal Care,500,931.39,772.24,379,999,112,3,147,4907.41,False,0.0,True,False
fb7ed0da,Milky Mist Cream,Dairy & Eggs,500,241.45,226.95,514,28,56,22,198,5706.67,True,23.46,True,False
f9574c67,Frooti Mango Drink,Beverages,200,194.14,140.16,585,13,63,525,681,4604.98,False,0.0,True,False
2c7aacaf,Pampers Diapers,Baby & Kids,500,165.19,110.02,749,2,88,410,981,4339.3,True,30.22,True,False
3c97c3a4,Saffola Oats,Staples & Dry Goods,500,31.55,23.54,404,14,71,39,46,7824.95,False,0.0,True,False
d7cb52c0,Organic Tattva Besan,Staples & Dry Goods,1000,554.84,489.63,98,19,28,65,147,1384.82,True,17.05,True,False
017c08ac,Lifebuoy Handwash,Personal Care,200,443.16,392.86,202,999,27,123,133,1344.16,True,11.45,True,False
78f61047,Mother Dairy Curd,Dairy & Eggs,1000,296.53,255.14,27,6,79,18,39,973.72,False,0.0,True,False
028dfe55,Saffola Oats,Staples & Dry Goods,2000,791.61,532.82,407,3,90,243,571,13425.48,False,0.0,False,True
6ac93252,Dettol Surface Wipes,Home Cleaning,100,681.59,490.54,74,999,14,5,76,255.78,False,0.0,True,False
812ae33c,Sebamed Baby Soap,Baby & Kids,100,113.75,107.33,292,22,67,229,516,1050.45,True,38.99,True,True
1d13ec33,Mother Sparsh Wipes,Baby & Kids,500,1142.16,911.52,65,18,17,31,32,1129.85,False,0.0,True,False
7fb31014,Vim Dishwash Bar,Home Cleaning,100,560.99,506.99,388,999,14,33,44,833.13,True,28.93,True,True
0949b2e4,24 Mantra Organic Chana,Staples & Dry Goods,500,992.81,796.1,709,23,19,66,414,12613.6,False,0.0,True,True
a2a4a623,Kurkure Chilli Chatka,Snacks & Packaged Foods,1500,700.5,582.36,421,21,33,226,291,24939.43,False,0.0,True,False
6599619d,Pigeon Plastic Jug,Plasticware & Storage,50,906.79,720.39,693,999,2,445,818,950.03,True,21.83,True,False
ab468e06,Amul Milk,Dairy & Eggs,1000,429.72,404.54,685,25,74,301,460,26368.37,False,0.0,True,True
ba1e6e43,Milky Mist Cream,Dairy & Eggs,2000,669.28,511.27,793,20,11,70,608,57661.62,False,0.0,True,True
f7496b86,Sunfeast Dark Fantasy,Snacks & Packaged Foods,1500,713.46,623.07,59,1,90,31,62,1620.98,True,27.97,False,False
6dfb59b2,Joy Home Jars,Plasticware & Storage,50,1051.48,824.02,577,999,96,489,496,402.32,True,9.0,True,True
a9b45b84,Domex Disinfectant,Home Cleaning,1500,389.89,383.34,624,999,114,101,190,21650.25,False,0.0,True,True
556ae39c,Heritage Paneer,Dairy & Eggs,5000,834.49,760.91,356,3,38,32,342,65541.74,True,39.09,True,True
92ec34c7,Sunfeast Dark Fantasy,Snacks & Packaged Foods,100,1170.99,1114.79,690,18,52,286,579,2698.45,True,9.08,True,True
74f2d170,Coca-Cola 1.25L,Beverages,50,963.03,716.33,506,9,86,204,363,481.95,False,0.0,True,True
24e93f52,Domex Disinfectant,Home Cleaning,100,1181.75,1123.24,606,999,57,423,701,1408.61,False,0.0,True,False
06e62f70,Baby Dove Lotion,Baby & Kids,5000,1109.75,1045.34,496,22,22,331,808,31679.18,True,8.13,True,True
5d5da9ea,Dettol Surface Wipes,Home Cleaning,500,533.49,396.4,325,999,77,203,265,2588.93,False,0.0,True,True
2827f914,Rajdhani Sooji,Staples & Dry Goods,2000,809.28,602.5,105,20,101,52,126,3818.67,True,38.82,True,False
cfb506c5,Johnson's Baby Powder,Baby & Kids,200,550.21,460.7,740,30,107,665,1170,4109.86,False,0.0,True,False
dabfc4af,Nandini Lassi,Dairy & Eggs,100,648.35,498.72,291,8,16,198,346,405.17,True,9.43,True,True
27e68ee5,HomePuff Tiffin Box,Plasticware & Storage,1000,599.66,573.27,534,999,40,158,585,8551.28,True,39.68,True,False
88ae10d1,Rin Detergent Powder,Home Cleaning,1000,163.81,132.7,47,999,23,23,39,1505.25,True,21.99,True,True
c05d066c,Heritage Paneer,Dairy & Eggs,1500,54.68,45.18,371,13,100,122,444,6369.21,True,31.07,True,False
faee4bd6,Dove Shampoo,Personal Care,50,930.23,843.96,424,999,27,111,311,696.69,False,0.0,True,False
3a5f7be5,Nivea Deodorant,Personal Care,200,876.0,803.15,616,999,37,362,648,2417.25,False,0.0,True,False
66c193b4,Sunfeast Dark Fantasy,Snacks & Packaged Foods,5000,409.26,408.47,127,15,115,75,150,15282.37,True,35.3,True,True
0cee7f79,Unibic Cookies,Snacks & Packaged Foods,500,854.55,698.69,650,18,14,209,320,5029.16,False,0.0,True,False
79e54c34,Nivea Deodorant,Personal Care,50,1155.15,1128.57,19,999,114,17,27,36.84,True,35.0,True,False
f6611fa6,Milky Mist Cream,Dairy & Eggs,1500,1126.3,844.63,308,1,6,197,345,7288.76,False,0.0,False,False
f839d505,Mother Dairy Curd,Dairy & Eggs,5000,246.6,178.45,8,22,50,2,3,743.45,False,0.0,True,True
2807ad8c,Joy Home Jars,Plasticware & Storage,500,1073.33,760.39,436,999,13,141,470,6227.37,False,0.0,True,False
db07ba7d,Dettol Soap,Personal Care,1000,671.56,640.33,190,999,84,127,259,7239.77,False,0.0,True,False
fc0b5cee,Mee Mee Teether,Baby & Kids,2000,776.15,615.64,256,6,55,78,78,18449.84,False,0.0,True,True
ab1b993f,Himalaya Face Wash,Personal Care,500,1143.33,1142.56,71,999,18,35,96,1278.7,True,28.91,True,True
64aebd5a,Amul Cheese Slices,Dairy & Eggs,1500,555.68,395.39,334,12,109,293,482,10264.53,False,0.0,True,False
33ea8cb1,Aashirvaad Atta,Staples & Dry Goods,200,607.63,406.19,529,20,9,314,661,2928.46,False,0.0,True,False
45735752,Pepsi Can,Beverages,1000,780.77,633.54,706,23,61,312,855,18538.94,False,0.0,True,True
3fd2104d,Britannia Rusk,Snacks & Packaged Foods,1000,788.12,712.88,486,2,89,316,534,11560.82,False,0.0,False,False
f6c1b1e5,Dettol Soap,Personal Care,5000,64.78,51.35,262,999,15,216,310,33775.45,False,0.0,True,False
3abf1d28,Milton Lunch Box,Plasticware & Storage,200,1006.6,681.02,358,999,107,331,444,745.5,True,5.13,True,True
9f2c8567,Amul Cheese Slices,Dairy & Eggs,100,809.4,776.85,761,16,74,328,424,1762.18,True,34.81,True,True
bc6d58ce,Daawat Brown Rice,Staples & Dry Goods,500,847.34,728.64,391,7,37,154,545,2322.69,False,0.0,True,True
090a2263,Kurkure Chilli Chatka,Snacks & Packaged Foods,1000,726.32,567.56,251,1,15,57,217,7118.29,True,14.15,False,False
dc687f3e,Pampers Diapers,Baby & Kids,500,446.53,385.11,106,7,29,7,95,1081.92,True,37.97,True,True
68e0288a,Sebamed Baby Soap,Baby & Kids,1500,368.59,264.26,153,7,1,33,102,4492.96,False,0.0,True,False
4f00c4e8,Tupperware Container,Plasticware & Storage,100,975.75,874.06,617,999,91,522,898,1632.65,True,28.98,True,True
f0e547bb,Balaji Wafers,Snacks & Packaged Foods,1500,896.91,727.67,515,15,51,151,415,24957.79,True,25.34,True,False
d606d97b,Pril Liquid,Home Cleaning,1500,1043.33,818.31,60,999,114,38,79,2549.46,True,16.28,True,True
0b0aeb31,Mother Sparsh Wipes,Baby & Kids,200,759.39,642.07,680,21,2,511,742,3328.8,False,0.0,True,True
5132e218,Lifebuoy Handwash,Personal Care,50,975.15,970.34,547,999,25,43,568,1033.47,False,0.0,True,False
90537a91,Sensodyne Toothpaste,Personal Care,2000,248.48,214.06,372,999,73,72,153,27516.66,True,27.95,True,True
dc8f6c96,Milky Mist Cream,Dairy & Eggs,200,294.59,199.18,753,16,108,446,1154,1977.14,True,19.8,True,False
4a250c66,Frooti Mango Drink,Beverages,50,901.32,696.85,218,13,18,104,158,406.97,True,26.16,True,True
dd0ea426,24 Mantra Organic Chana,Staples & Dry Goods,200,999.19,863.12,157,28,67,8,83,570.55,True,36.98,True,True
c067d332,Nilkamal Drawer,Plasticware & Storage,5000,1012.18,791.97,626,999,90,326,567,77226.59,True,34.16,True,True
ed1d027d,Lay's Salted,Snacks & Packaged Foods,200,240.85,180.43,611,24,106,327,397,3688.76,True,28.78,True,True
944fd18e,Dove Shampoo,Personal Care,5000,93.98,78.05,322,999,103,224,339,22589.19,True,6.4,True,False
d9f161ea,Tropicana Orange Juice,Beverages,1000,113.89,111.95,200,23,107,135,307,2999.04,False,0.0,True,True
22c0090d,Mother Dairy Curd,Dairy & Eggs,5000,631.99,500.64,589,26,2,355,892,47403.97,True,33.66,True,False
6f5d2b88,Signoraware Spice Rack,Plasticware & Storage,1500,1189.28,1029.73,713,999,90,573,640,27570.37,False,0.0,True,False
82467abd,Organic Tattva Besan,Staples & Dry Goods,1000,823.79,755.51,25,1,85,13,30,389.2,False,0.0,False,False
08851178,Appy Fizz,Beverages,1000,362.43,297.26,98,10,24,21,36,1751.74,True,34.9,True,True
d24ad5f7,Huggies Wipes,Baby & Kids,1000,91.06,86.86,96,12,108,44,134,3460.81,False,0.0,True,False
8be6161b,Dove Shampoo,Personal Care,100,907.13,794.54,187,999,65,91,230,637.69,False,0.0,True,True
340a0beb,Tide Detergent,Home Cleaning,500,900.68,769.95,382,999,99,337,463,2116.61,True,5.81,True,False
34fbc47c,Saffola Oats,Staples & Dry Goods,200,483.12,371.75,60,30,106,10,23,348.23,False,0.0,True,True
33aa65c7,Haldiram's Bhujia,Snacks & Packaged Foods,1000,277.85,223.94,182,27,114,33,175,2945.8,False,0.0,True,True
0fbb66aa,Pigeon Feeding Bottle,Baby & Kids,1000,685.42,502.81,21,19,12,2,13,670.55,False,0.0,True,False
75e0ed42,Joy Home Jars,Plasticware & Storage,500,127.02,109.45,306,999,40,6,25,2505.54,False,0.0,True,False
8ba65a14,24 Mantra Organic Chana,Staples & Dry Goods,1000,1068.37,802.8,722,8,120,29,31,18411.31,True,36.79,True,False
ccdaafbf,Nilkamal Drawer,Plasticware & Storage,5000,588.11,536.19,411,999,38,3,395,49806.03,True,34.01,True,True
43dcb7d7,Fiama Shower Gel,Personal Care,2000,991.02,871.04,47,999,100,40,40,2482.42,True,17.5,True,False
5c6234bf,Daawat Brown Rice,Staples & Dry Goods,50,259.06,168.43,141,14,27,21,119,86.44,True,30.34,True,True
9869a7e9,Himalaya Face Wash,Personal Care,1500,292.4,289.84,406,999,75,388,439,11726.63,True,31.12,True,True
b7ae0274,Mother Sparsh Wipes,Baby & Kids,50,639.6,626.79,324,29,29,287,588,527.75,False,0.0,True,False
77611cd6,Dettol Surface Wipes,Home Cleaning,2000,37.38,31.31,398,999,11,137,355,30112.15,False,0.0,True,True
72d3633c,Unibic Cookies,Snacks & Packaged Foods,2000,114.15,90.88,148,4,17,98,197,10579.75,False,0.0,True,False
cdea72d2,Frooti Mango Drink,Beverages,1000,359.43,271.94,278,7,14,188,298,8643.92,True,39.49,True,False
296acbfe,Himalaya Face Wash,Personal Care,50,575.92,458.67,375,999,49,252,257,739.21,True,22.37,True,False
9574d9af,Johnson's Baby Powder,Baby & Kids,50,615.21,558.7,735,16,116,365,920,1292.79,True,27.87,True,False
a6aabc4e,Surf Excel Matic,Home Cleaning,1500,782.16,610.14,558,999,106,153,630,22089.93,False,0.0,True,True
16b58c95,Balaji Wafers,Snacks & Packaged Foods,2000,371.6,356.01,584,19,34,91,534,12505.58,False,0.0,True,True
24c4695f,Rajdhani Sooji,Staples & Dry Goods,200,650.48,568.14,685,7,64,456,596,3460.42,True,6.17,True,True
b602c039,Too Yumm Chips,Snacks & Packaged Foods,1500,1070.1,751.05,718,22,21,591,1197,40447.45,True,39.66,True,False
6e549d6a,Sunfeast Dark Fantasy,Snacks & Packaged Foods,500,400.91,323.89,140,1,51,100,199,2687.24,True,26.43,True,True
3fdd9d32,Rajdhani Sooji,Staples & Dry Goods,5000,667.48,537.23,113,9,62,4,52,20202.76,False,0.0,True,True
04f6413e,Mee Mee Teether,Baby & Kids,100,665.2,647.81,778,30,20,663,1406,2567.6,True,39.8,True,False
53ab7f0d,Pampers Diapers,Baby & Kids,50,122.83,109.11,766,18,1,620,993,935.7,True,7.04,True,False
bcf64787,Colgate Toothpaste,Personal Care,50,846.12,758.47,499,999,80,400,463,807.5,True,30.83,True,False
32d1c0ed,Dettol Soap,Personal Care,100,1074.38,809.32,769,999,119,679,760,2438.38,True,21.52,True,False
70dccbfd,Signoraware Spice Rack,Plasticware & Storage,100,547.15,452.32,304,999,3,203,398,581.19,True,18.43,True,True
0acda463,Signoraware Spice Rack,Plasticware & Storage,500,719.16,618.25,352,999,43,115,263,5706.37,False,0.0,True,True
29ce530e,Tropicana Orange Juice,Beverages,5000,869.17,830.79,199,15,7,156,160,36945.88,True,12.25,True,True
d582f3ae,Nandini Lassi,Dairy & Eggs,1500,101.28,80.81,440,5,34,2,387,13071.1,False,0.0,True,False
cf24a5a5,NestFresh Eggs,Dairy & Eggs,50,1142.56,776.35,208,29,65,8,154,178.52,True,26.41,True,True
490dd809,Nivea Deodorant,Personal Care,5000,436.93,337.29,262,999,69,106,342,32503.93,False,0.0,True,False
e45cc498,Balaji Wafers,Snacks & Packaged Foods,5000,598.95,502.99,167,1,80,141,211,10725.89,False,0.0,True,False
f812b357,Amul Kool Kesar,Beverages,500,427.61,368.49,199,24,2,59,255,1354.6,True,29.65,True,False
7a7f1a7d,Sensodyne Toothpaste,Personal Care,1500,1055.83,923.38,618,999,45,233,242,13062.58,False,0.0,True,False
e5bd4f48,Harpic Toilet Cleaner,Home Cleaning,2000,36.09,31.46,336,999,70,115,356,11640.83,False,0.0,True,False
b8c24014,Baby Dove Lotion,Baby & Kids,1500,710.02,636.58,347,24,75,347,479,9647.54,False,0.0,True,True
ae82578a,Too Yumm Chips,Snacks & Packaged Foods,1500,555.09,430.47,18,24,17,2,6,481.07,True,17.33,True,True
274b31ba,Mother Dairy Curd,Dairy & Eggs,2000,883.23,783.7,601,20,120,381,910,47173.86,True,6.05,True,True
ac3f9d54,Baby Dove Lotion,Baby & Kids,5000,354.57,286.51,541,29,7,163,473,79701.84,True,10.73,True,True
5036c36f,Tupperware Container,Plasticware & Storage,2000,770.77,632.34,247,999,60,224,312,18812.71,False,0.0,True,True
1743446c,Amul Kool Kesar,Beverages,100,780.95,772.63,766,21,37,277,493,1330.53,True,6.34,True,False
60f85953,Aashirvaad Atta,Staples & Dry Goods,1000,618.2,418.62,694,11,62,125,423,23509.19,False,0.0,True,True
76b58521,Saffola Oats,Staples & Dry Goods,2000,983.57,747.81,509,5,16,1,459,32319.71,True,32.36,True,True
a9f82699,Fiama Shower Gel,Personal Care,200,847.55,561.91,200,999,95,95,130,990.28,True,16.59,True,True
0312a973,Britannia Rusk,Snacks & Packaged Foods,500,974.49,703.88,42,24,2,29,29,734.46,True,29.17,True,True
8f6b24d1,Nivea Deodorant,Personal Care,2000,511.81,383.15,323,999,24,57,345,8299.14,False,0.0,True,True
5cfbc400,Daawat Brown Rice,Staples & Dry Goods,500,262.43,206.32,519,23,55,135,382,4102.07,False,0.0,True,True
116ae28e,Nivea Deodorant,Personal Care,500,231.8,215.22,759,999,83,416,582,7103.67,True,31.11,True,False
eb0dbdb8,Govardhan Ghee,Dairy & Eggs,50,153.6,122.67,8,2,43,5,13,7.06,True,28.09,False,False
a626146b,Real Mixed Fruit,Beverages,200,833.28,795.31,314,23,38,117,173,1392.5,True,17.68,True,False
d55914da,Nilkamal Drawer,Plasticware & Storage,1000,643.2,529.85,270,999,114,70,257,6424.16,True,34.25,True,False
4fe68e16,Huggies Wipes,Baby & Kids,2000,139.96,98.32,253,20,76,37,101,9138.1,True,30.25,True,True
5b8448fb,Fortune Biryani Rice,Staples & Dry Goods,1000,1086.41,1083.77,12,20,17,10,22,371.78,True,16.88,True,False
3ed6c5f1,Paper Boat Jaljeera,Beverages,1000,259.04,183.41,552,11,72,511,744,7572.63,False,0.0,True,True
2a3ea64b,Harpic Toilet Cleaner,Home Cleaning,50,754.11,687.07,468,999,28,117,520,704.47,True,17.79,True,False
81c50230,Bisleri 1L,Beverages,1500,34.85,29.47,243,28,29,71,238,3943.59,False,0.0,True,True
37735724,Huggies Wipes,Baby & Kids,5000,444.23,399.92,199,17,21,39,73,32642.02,True,23.27,True,False
a99ca7aa,Nivea Deodorant,Personal Care,500,805.33,750.34,636,999,8,301,349,7784.18,False,0.0,True,True
fd67fcff,Aashirvaad Atta,Staples & Dry Goods,2000,708.01,565.55,653,23,75,470,691,26509.3,False,0.0,True,False
23c7c236,Coca-Cola 1.25L,Beverages,1500,449.65,303.77,639,10,32,303,816,33603.27,True,32.95,True,False
549a254d,Organic Tattva Besan,Staples & Dry Goods,1000,728.98,642.12,18,26,7,7,16,456.02,False,0.0,True,False
2513cf5b,Milton Lunch Box,Plasticware & Storage,2000,1103.71,999.08,100,999,83,66,136,2316.89,True,27.59,True,False
3087178a,Johnson's Baby Powder,Baby & Kids,1000,92.35,80.59,703,29,24,46,667,26680.26,False,0.0,True,True
6cb54fea,Amul Milk,Dairy & Eggs,1000,974.47,823.56,529,30,61,494,973,17267.5,False,0.0,True,False
8e430635,Exo Dishwash Liquid,Home Cleaning,100,463.29,432.44,61,999,44,10,62,125.0,False,0.0,True,True
99687391,Dettol Soap,Personal Care,100,310.31,256.05,662,999,52,620,661,1713.74,False,0.0,True,False
4afddad7,Tupperware Container,Plasticware & Storage,200,302.39,298.99,229,999,81,32,144,1817.1,True,16.62,True,False
732180c6,Pampers Diapers,Baby & Kids,500,815.27,764.45,52,5,39,9,47,918.52,True,13.0,False,True
7818ab35,Johnson's Baby Powder,Baby & Kids,2000,186.43,147.37,774,6,2,746,1234,42823.14,True,20.3,True,True
bc2e325c,Nilkamal Drawer,Plasticware & Storage,1500,13.39,9.55,154,999,79,86,197,9139.63,True,37.8,True,False
46fb826c,Tupperware Container,Plasticware & Storage,500,759.66,552.9,580,999,111,8,447,5234.06,False,0.0,True,True
de7c7bc0,Himalaya Face Wash,Personal Care,2000,1042.36,733.18,107,999,82,63,79,3833.53,True,32.92,True,True
10b33517,Pigeon Feeding Bottle,Baby & Kids,1000,808.8,660.52,108,25,57,106,148,3095.87,False,0.0,True,True
ad465fd9,Fortune Biryani Rice,Staples & Dry Goods,2000,203.88,201.9,600,29,57,576,806,25828.52,False,0.0,True,False
8aec4a10,Pampers Diapers,Baby & Kids,50,123.41,102.89,576,18,53,454,998,328.16,False,0.0,True,False
bed803b6,Johnson's Baby Powder,Baby & Kids,5000,1009.99,856.84,285,21,10,178,203,56460.91,False,0.0,True,True
2f6646ad,24 Mantra Organic Chana,Staples & Dry Goods,50,429.86,290.36,52,13,50,4,50,101.52,False,0.0,True,True
59a0fe47,Himalaya Face Wash,Personal Care,200,336.32,297.5,453,999,54,412,617,2748.83,True,5.52,True,False
095dfeae,Milton Lunch Box,Plasticware & Storage,2000,772.0,758.12,555,999,88,256,672,29826.0,True,20.85,True,True
0e6be4a2,Milky Mist Cream,Dairy & Eggs,1500,605.51,407.71,510,29,7,316,393,26652.39,False,0.0,True,True
7aab953a,Govardhan Ghee,Dairy & Eggs,1500,834.03,649.07,530,9,67,111,405,20108.44,True,15.21,True,True
c1c8722c,Cello Plastic Tray,Plasticware & Storage,200,14.04,9.87,608,999,84,327,497,3280.21,True,20.01,True,True
02fa6d52,Lifebuoy Handwash,Personal Care,1000,730.7,477.16,471,999,84,151,341,18544.86,True,16.05,True,False
0d757677,Cello Plastic Tray,Plasticware & Storage,200,326.52,257.68,424,999,19,357,508,1198.28,False,0.0,True,False
752bd1f1,Rin Detergent Powder,Home Cleaning,1000,700.37,515.76,497,999,61,184,400,9924.28,False,0.0,True,True
7fba24a9,Kurkure Chilli Chatka,Snacks & Packaged Foods,5000,210.85,147.82,541,25,34,197,378,61418.31,True,29.93,True,False
9ae2d809,Dettol Soap,Personal Care,2000,351.78,347.9,524,999,58,209,282,23082.31,True,31.87,True,True
eeb60d23,Heritage Paneer,Dairy & Eggs,5000,913.0,744.29,649,21,16,571,1151,96492.03,False,0.0,True,False
8daa4d6b,Milky Mist Cream,Dairy & Eggs,100,396.67,310.14,306,23,61,263,391,1144.55,False,0.0,True,True
81ba0527,Bisleri 1L,Beverages,50,172.58,141.16,81,22,92,46,107,65.34,False,0.0,True,True
5aa3a2d3,Govardhan Ghee,Dairy & Eggs,500,890.07,821.03,571,15,23,403,535,6393.11,False,0.0,True,True
307f909b,Vim Dishwash Bar,Home Cleaning,500,960.9,780.41,291,999,69,147,365,2052.66,False,0.0,True,False
df9e626f,Pepsi Can,Beverages,1000,652.56,546.97,757,12,105,310,497,17428.03,False,0.0,True,False
ffa2b408,Nestle Cerelac,Baby & Kids,1500,556.42,551.01,597,17,106,507,1040,17600.78,True,20.98,True,False
11245599,Clinic Plus Conditioner,Personal Care,1000,259.59,219.92,189,999,111,133,221,6614.68,False,0.0,True,False
aff762a3,Parle-G Biscuits,Snacks & Packaged Foods,50,1114.87,885.68,707,19,119,330,672,1331.77,True,32.84,True,False
be5b4564,Frooti Mango Drink,Beverages,5000,97.71,91.69,147,27,25,85,110,24801.47,True,11.34,True,False
2e2ca5f2,Chicco Baby Shampoo,Baby & Kids,1500,582.88,440.59,128,28,42,16,143,3070.12,True,14.36,True,False
237f357d,Bisleri 1L,Beverages,2000,119.77,106.07,322,9,26,109,401,11525.01,True,29.81,True,True
609c9135,Dettol Surface Wipes,Home Cleaning,200,635.98,418.36,56,999,89,17,36,414.53,True,30.89,True,True
94091e8d,Amul Milk,Dairy & Eggs,50,1040.7,794.19,241,5,85,195,407,439.14,False,0.0,True,False
204d45fd,Aavin Butter,Dairy & Eggs,2000,925.66,841.59,340,1,12,229,463,18866.17,False,0.0,True,True
8ea53a2e,24 Mantra Organic Chana,Staples & Dry Goods,2000,327.49,297.37,567,18,51,511,785,28715.32,False,0.0,True,False
86ec9d48,Britannia Rusk,Snacks & Packaged Foods,50,392.82,375.05,21,30,67,2,20,20.57,False,0.0,True,False
7b072e4d,Saffola Oats,Staples & Dry Goods,100,43.31,43.19,506,8,1,454,538,915.13,False,0.0,True,True
0c6f5748,Bisleri 1L,Beverages,50,787.95,550.02,97,13,76,49,69,139.35,False,0.0,True,True
94b1d30b,Pigeon Plastic Jug,Plasticware & Storage,1000,319.59,301.88,714,999,69,484,494,21080.13,False,0.0,True,False
ee9a736e,Milton Lunch Box,Plasticware & Storage,100,514.9,423.42,345,999,22,161,217,388.79,True,27.29,True,False
2ef824c7,Clinic Plus Conditioner,Personal Care,200,474.23,327.46,302,999,53,180,369,1534.64,True,12.86,True,True
ca6c48ff,Lay's Salted,Snacks & Packaged Foods,1500,669.36,447.31,129,29,81,58,166,7305.37,False,0.0,True,True
3a3c9275,Amul Milk,Dairy & Eggs,1500,823.27,609.1,768,8,46,483,712,36542.44,True,9.14,True,False
7fbcff67,Red Bull,Beverages,100,779.47,575.55,214,20,101,168,238,673.67,False,0.0,True,False
d1e1abf5,Natureland Organic Poha,Staples & Dry Goods,500,407.39,309.02,578,16,70,272,293,8787.47,False,0.0,True,False
